€300,000 	 13 Belleek Lodge, Ballina, Co Mayo, F26 X72T
€135,000 	 No. 27 Chestnut Grove , Castlebar, Mayo
€129,000 	 Farragh, Killala, Mayo
€100,000 	 Martin Tom's Cottage - Lot 4, Tourmakeady, Mayo
€299,000 	 Cross, Claremorris, Cross, Mayo
€309,000 	 10 Monamore, Westport, Mayo
€95,000 	 Site Sold SPP, Carrowbaun, Westport, Co Mayo
€255,000  -€10,000 on 30th Aug 19 	 Golf Course Road, Carrowholly, Westport, Co Mayo, F28 X330
€144,000 	 Coogue North, Aghamore, Ballyhaunis, Co. Mayo
AMV €120,000 	 15 Lakeside, Mount Falcon, Ballina, Mayo
AMV €80,000 	 20 Dun na Ri, Swinford, Mayo
AMV €45,000 	 Ballybane, Brickens, Tulrohan, Claremorris, Mayo
€149,000 	 Riverside Drive, Ballina, Mayo
€145,000 	 Flughany, Doocastle, Co. Mayo
€60,000 	 2 Waldrons Terrace, Upper Main Street, Ballyhaunis, Co. Mayo
€295,000 	 The Quay, Westport, Co Mayo, F28 N7N3
€220,000 	 The Clover, Rossport, Mayo
€125,000 	 29 Hazelhill Downs, Ballyhaunis, Mayo
€350,000 	 Prison South, Balla, Co. Mayo
AMV €50,000 	 2 Forest Grove, Killybrone, Killala, Mayo
